"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","49","4","1","1","3.807237","0","10"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","49","4","1","1","3.921609","0","11"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","49","43","9","1","41.137264","0","191"
"/Game/Scena/Screens/LED3_4.LED3_4","49","14","2","1","16.273581","0","63"
"/Game/Aximmetry_VirtualCam_3-Bill/Materials/Color_Merge.Color_Merge","49","4","1","1","3.865644","0","11"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","49","60","5","1","74.710228","0","239"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","49","86","11","1","119.772278","0","378"
"/Game/Materials/HDRI_Projection.HDRI_Projection","49","69","3","3","99.156464","0","174"
"/Game/Aximmetry_VirtualCam_3-Bill/Materials/Shaders/Shadow.Shadow","49","30","8","1","32.311665","0","81"
"/Game/Aximmetry_VirtualCam_3-Bill/Materials/Shaders/Depth.Depth","49","30","31","1","32.665264","0","51"
"/Game/Aximmetry_VirtualCam_3-Bill/Materials/Shaders/Billboard.Billboard","49","35","3","1","56.856544","0","111"
"/Game/Scena/Lineup/NameHolder.NameHolder","49","3","3","1","3.920014","0","3"
